KOG0188,7,7,P36428;Q9FFC7,P36428;Q9FFC7,Q23122,Q23122,Q9VRJ1;Q9VLM8,Q9VRJ1;Q9VLM8,Q1LVL3,Q1LVL3,Q5JTZ9;P49588,Q5JTZ9;P49588,P40825,P40825,O13914,O13914
KOG0698,7,1,Q9FLI3;Q9LDA7;Q9LW60;O82637;Q9LNW3;Q8GY60;Q9LNP9;Q9CAJ0;Q9FX08;Q8VZN9;Q9SIU8;O80871;Q3EAF9;Q9FG61;Q9LRZ4;Q9SA22;Q9M9C6;Q9SZ53;Q9S9Z7;O80492;Q9FXE4;Q9SUF4;Q9T010;Q9LUU7;Q6NKS1;O04719;Q9M9W9;Q9XGZ9;Q9SLA1;Q9M1V8;Q9ZW21;O81716;Q9LNF4;P49598;P93006;Q8RX37;Q4PSE8;Q94AT1;Q9SD02;F4I7L4;Q9XEE8;Q8RXZ4;P46014;Q8L7I4;Q9SL76;F4IG99;Q93YW5;P49599;Q9LR65;Q3EAZ3;Q7XJ53;Q93YS2;O64583;Q8LAY8;Q8RXV3;Q9M8R7;Q0WRB2;Q9LMT1;Q9FIF5;Q9LME4;Q940A2;P49597,ZERO,P49594;G5EEM6;G5EDI3;Q95XK4,ZERO,O77023;M9PCH3;Q9VJ61,ZERO,A0JMP2;A2BE49;F1R0V7;E7FAZ1;F1QKC2;F1QD96;Q6NYW2;A2ATY1;F1R3T2;E7EY20,ZERO,A0A0A0MQZ4;A8K6K3;A8MPX8;O15297;P49593;Q5SGD2;Q8WY54;Q9H0C8,ZERO,P25646;P35182;P38089,P35182,O14156;P40371,ZERO
KOG0845,7,1,F4ID16;Q8RY25;Q9CAF4,ZERO,G5EEH9,ZERO,Q7KLX0;Q867W7,ZERO,E7F981;F1QRD4,ZERO,P52948;Q9HCD5,P52948,P49687,ZERO,Q9UTK4,ZERO
KOG0864,7,0,Q9C829;Q9LMK7;Q1WWI2;Q9LW88;Q8RWG8,ZERO,P34562,ZERO,Q9VBU7,ZERO,Q90Z38,ZERO,A6NKT7;F8VYC4;O14715;P0DJD1;P43487;Q7Z3J3;V9HWE4,ZERO,P41920,ZERO,Q09717,ZERO
KOG0865,7,1,Q8LDP4;O65220;P34790;F4HTT6;Q8RWY7;O49605;Q38867;Q38900;Q9LIK6;Q9SP02;Q42406;Q9SKQ0;Q9LY75;Q8L8W5,ZERO,A3KFD7;A9D417;P52010;Q2L6V8,ZERO,A0A0B4K7U6;P25007;Q961L5;Q7K2I4;Q9W473;Q9W170;Q95U06,ZERO,F1QCK7;K7DY47;B7ZCQ5;B8JKN6;F1QLH1;Q6PC53,ZERO,P49792;A0A024QZS4;A0A075B759;A0A075B767;A0A0B4J2A2;A2BFH1;F5H284;V9HWF5,P49792,P25719;P14832,ZERO,P18253,ZERO
KOG2241,7,5,Q9SVN5;Q93VB0;Q9M1X8,Q9SVN5,Q20970,Q20970,A1Z7K8;Q9VV60,ZERO,B0V1K1;F8W4W5,ZERO,P54577;Q12904,P54577;Q12904,P46672,P46672,Q9P6K7,Q9P6K7
KOG0940,7,1,Q9SU29,ZERO,Q19404;G5EEJ0;Q9N2Z7,ZERO,A0A0B4KFU5;A0A0B4LH59;M9MS90;M9PFY9;Q45VV3;Q9Y0H4,ZERO,F1QEG9;A9JRZ0;F1R8M0;H9GXL4;E9QIB6;F1Q9J0;F1Q632;E7F1N4;Q1LYI3;Q1L8J7;F1R6K7;A2VCZ7;E7FEW3;Q307I6;H9GYM0;E7F4U3,ZERO,Q9HAU4;O00308;P46937;Q96PU5;Q9H0M0;O95817;P46934;Q9HCE7;Q9P2P5;O60861;Q76N89;Q96J02,ZERO,Q03280;P39940,P39940,O13834;Q92462;O14326;Q9UTG2,ZERO
KOG0948,7,2,Q9XIF2;Q9ZVW2,ZERO,Q23223;Q19103,ZERO,Q9Y134;Q9VCH8,ZERO,F1QD61;F1R881,ZERO,P42285;Q5H9U9;Q15477,ZERO,P47047;P35207,P47047,O14232;O59801;O13799,O14232;O13799
KOG0974,7,1,Q8RXC4,ZERO,Q9XWF9,ZERO,Q86B53,ZERO,A9C3T6,ZERO,A0A087X295,ZERO,Q08924,Q08924,Q9USZ0,ZERO
KOG1018,7,5,Q9S7I0;Q9MA89;Q94BU8;Q6IDB6,Q9S7I0,Q95QD6;Q9XXD0;Q95Y87,ZERO,Q9VEM0,ZERO,G1K2N1,G1K2N1,Q7Z6V5,Q7Z6V5,Q12178;P47058;Q12367,P47058,O94642;O59834,O94642
KOG1040,7,1,A9LNK9;Q9LTS7,ZERO,Q7YTG9;Q19336,ZERO,Q9VPT8;P22293,ZERO,F1Q6H4;E7FGZ9;F1Q949,ZERO,A6NMK7;O95639;P61129;Q8N5P1;Q9UPT8,O95639,Q06102,ZERO,Q9UTD1,ZERO
KOG1068,7,2,Q9SP08,ZERO,Q17533;Q9N4P9,ZERO,Q9VK19;Q5BID5,ZERO,F1QHK4;Q6P0I8,ZERO,Q9NPD3;Q5RKV6,ZERO,P46948;P48240,P46948;P48240,O42872;Q9P7R3,O42872;Q9P7R3
KOG1088,7,4,Q8LFJ5;Q9C9R3,Q8LFJ5;Q9C9R3,Q21548;O45241,ZERO,Q9VP65,ZERO,Q503F3,Q503F3,A0A024R565,ZERO,P53738,P53738,Q09723,Q09723
KOG1164,7,1,Q8VYK9;Q8LPJ1;Q9LID3;Q9FK52;Q9FFH8;F4JID0;Q9ZWB3;Q39050;Q9ZUP4;Q9LSX4;Q9SQR8;Q3KT07;P93815;Q5XF24;Q9LW62;F4ISN5;Q9CAI5;Q8LPI7;Q93Z18,ZERO,O02157;Q22518;Q9XVK4;P91191;O01773;Q94277;Q18615;Q17631;P34516;Q22573;Q18738;Q22203;G5EBW7;Q7YTJ7;G5EC33;O62426;Q9N4H2;O01733;Q22223;O44192;Q23103;P42169;O45897;Q17651;G5EFL7;Q9TXU0;O76712;Q9N4Q0;O44950;Q93522;Q93521;Q3S1L3;Q18707;Q20160;O01429;Q09503;Q20193;Q20192;Q966G1;Q966G2;Q21590;Q9N3T7;O44777;Q18189;Q9NAP8;Q17853;Q17825;Q21373;P91566;Q95Y99;G5EEA3;Q17448;Q94193;Q20906;Q19798;Q19794;Q21204;G5EFC2;O44751;Q23546;Q18882;G5EER1;Q19742;P34633;P34635;Q95PZ9;Q23566;Q18984;Q20018;Q21026;O76711;Q18976;O17693;O17828;O01899;Q966M1;Q20288;Q9BHK8;Q7KQ32;Q8MPS7;Q23259;Q7YXD1,ZERO,A4V3G8;Q7KMI3;O76324;L0MLN1;E1JJI5,ZERO,F1QA55;B8JHS7;Q6P3K7;F1RE77;Q6P109;F1R1M5;E7FE66;F1RC23;E7FBX6;Q7T2E3,ZERO,A0A024QZI4;Q99986;Q86Y07;Q5U045;Q5TCY1;P48729;Q6IQ55;Q8N752;P48730,ZERO,P29295,P29295,P40235,ZERO
KOG1193,7,1,Q9C776;Q9ZT48,ZERO,P90914,ZERO,A0A0B4KFD5,ZERO,H9GYT6,ZERO,O95260,ZERO,P16639,ZERO,O14133,O14133
KOG1416,7,6,O80846,O80846,Q94416,Q94416,Q8MS69,ZERO,F1QFE5,F1QFE5,Q9UJA5,Q9UJA5,P41814,P41814,Q9HGL4,Q9HGL4
KOG1426,7,2,Q9LFS0;Q0WSJ9;Q9M2S1;Q9SRU6;F4JBN0;Q9LU80;A2RVN2;Q9LK81;Q93Z10;Q9LDU3;Q8GWF2;Q9FN03;Q8GZ56;Q9FJG9,ZERO,Q5DX34;G5EEZ1,ZERO,Q7KTW3;P25171;Q9VQ16;Q9VD63;Q8T9D9;Q9VNZ8;Q9VPU0;Q9VR91,ZERO,F1QPS0;F8W4K3;B8A4R1;E7EYK8;F1QV77;Q6NY65;F1Q9S9;F1QWN9;E7FBA7;A2BFP4;E7FGN7;F1QM29;F1QKS2;F1Q9Y8;E7F1R0;F1QUH2,ZERO,A0A024R5W0;A0A024RC72;F8VWT9;Q9UGK8;O95199;Q8TD19;Q8NDN9;P18754;Q96Q42;O95714;Q92834,ZERO,P21827;Q08023;P31386,P31386,O42645;P28745,O42645
KOG1549,7,2,O49543,ZERO,Q19434;O61741,ZERO,Q9VKD3,ZERO,A8WFT4;Q1LYQ9,ZERO,A0A0A0MQU4;Q9Y697,ZERO,P25374,P25374,O74351,O74351
KOG1637,7,7,O04630;Q9LM35;F4IFC5;Q8GZ45,O04630;F4IFC5;Q8GZ45,P52709,P52709,Q8IGC5;Q9VUJ0,Q9VUJ0,A2BIM7;B8JMZ8;F1Q6U0;F1QVY2;Q7T3F9,A2BIM7;B8JMZ8,P26639;A2RTX5;Q9BW92;Q9NYK5,P26639;A2RTX5;Q9BW92,P04801;P07236,P04801;P07236,P87144;O13969,P87144;O13969
KOG1672,6,0,Q6NPL9;Q541V3;Q8LCV1;Q9LSU4,ZERO,Q11183,ZERO,Q9VGV8,ZERO,Q7ZVX9,ZERO,O14530,ZERO,Q04004,ZERO,NONE,NONE
KOG1783,7,2,O22823;Q9M1Z3,ZERO,Q95XN6,ZERO,Q9W2P5,ZERO,Q6IMW9,ZERO,P62312,P62312,Q06406,Q06406,Q9UUI1,ZERO
KOG1801,7,2,B6SFA4;F4K5V7;F4K5W5;O64476;Q9FWR3;Q9SHX8;Q9SHX6;Q9S9W3;Q9SZW3;Q9FHU9;Q9FHU6;Q9FJ83,ZERO,Q21321;Q18633;Q9NAC2;Q09594;O01978,ZERO,B7Z0D7,ZERO,E7FBJ2,ZERO,Q7Z333,ZERO,Q00416,Q00416,Q92355;O94387,Q92355;O94387
KOG1885,7,6,F4J7V2;Q9ZPI1;Q9LJE2,F4J7V2;Q9ZPI1;Q9LJE2,Q95ZQ3,Q95ZQ3,Q8SXM8,ZERO,Q6DHE6,Q6DHE6,Q15046,Q15046,P32048;P15180,P32048;P15180,O74858;Q9UUE6,O74858;Q9UUE6
KOG1906,7,2,Q9SCY9;Q8RX81;Q5BPR8;Q84WU1;Q7Y227,ZERO,G5EFL0,ZERO,Q7KVS9;Q9VC07,ZERO,F1Q7F1;F1RE44,ZERO,Q5XG87;Q8NDF8,ZERO,P53632;P48561,P53632;P48561,O74518;Q9UTN3,Q9UTN3
KOG1919,7,5,Q9LT72;Q5XET6;Q5M721;Q3ECD0;Q9SVS0;Q7XA65;Q9LU60,Q5XET6;Q7XA65,O16686,ZERO,Q86P70,ZERO,E7FFJ5;F1RAY7;Q6DBR0,E7FFJ5;F1RAY7;Q6DBR0,Q96CM3;Q6P087;Q8IZ73;Q9UJJ7,Q96CM3;Q6P087;Q8IZ73;Q9UJJ7,Q3E772;Q12362;Q06244;Q12069,Q12362;Q06244;Q12069,Q09709,Q09709
KOG1920,7,4,Q9FNA4,Q9FNA4,Q9N595,Q9N595,Q9VGK7,ZERO,E9QB69,ZERO,O95163,ZERO,Q06706,Q06706,O59704,O59704
KOG2007,7,7,B3LFA4;F4IQQ3;Q9LYL3,B3LFA4;F4IQQ3;Q9LYL3,O76618,O76618,Q7K3P0;Q7KN90,Q7KN90,E7FC09,E7FC09,P49589;Q9HA77,P49589;Q9HA77,P53852,P53852,Q09860,Q09860
KOG2017,7,6,Q93WI0;Q9ZNW0,Q9ZNW0,O44510,O44510,M9PCK7,ZERO,F1QW01,F1QW01,O95396,O95396,P38820,P38820,Q09810,Q09810
KOG2073,7,1,F4J5I0;Q8L7T5;Q9S9Q4;Q1G325;Q3EDG6;Q9SKN4,ZERO,B2D6K9,ZERO,Q9VRV1,ZERO,Q5RGI5;F1Q753;E7F151,ZERO,O75170;Q9UPN7;Q5H9R7,ZERO,P40856;P36123;P53036;P43612,P40856;P36123,O74511,ZERO
KOG2078,7,5,Q6NQ64;Q93YU6,Q6NQ64;Q93YU6,A8WHS8,ZERO,Q9VZU0;Q8IRE4,Q8IRE4,B8A5G9,ZERO,Q32P41,Q32P41,P38793,P38793,Q8TFG7,Q8TFG7
KOG2102,7,2,Q6NQJ6;Q0WPN0;Q9SHL7,ZERO,Q17632;Q09568,ZERO,Q8IRJ7;Q960A7,ZERO,E7F350;E7F3B1;E7FE01;F1Q9I9;F1QPP3,ZERO,Q9BYK8;Q8TF46;Q8IYB7;Q9Y2L1,ZERO,Q08162;P39112;P24276,Q08162,O74454;P37202;O94525;O14040;Q1MTN7,P37202
KOG2121,7,7,Q8VYS2;Q8GYZ2,Q8VYS2,O44476,O44476,Q8MKW7,Q8MKW7,A5WWD2;F1QHE2,A5WWD2;F1QHE2,Q9H777;Q9BQ52;E7EUB6,Q9H777;Q9BQ52;E7EUB6,P36159,P36159,Q10155;P87168,Q10155;P87168
KOG2168,7,1,F4J284;O22224,ZERO,Q9BKT9,ZERO,Q9VFE7;Q9XZ06,ZERO,Q1LV08,ZERO,Q8N1F7,Q8N1F7,P34077,ZERO,O94418;O14310,ZERO
KOG2206,7,2,A9LLI7;F4ITQ7;Q0WVE8,ZERO,G5EBX6,ZERO,Q9VFF3,ZERO,F1Q5Q7,ZERO,Q01780,ZERO,Q12149,Q12149,Q10146,Q10146
KOG2248,7,2,Q8RXK2;Q9SN09;Q8L7M4;Q9FFG1;C0J1J0,ZERO,Q10124,ZERO,Q9VRX7;C7LAE5;Q8IH01,ZERO,B0S6F3;B8JII5,ZERO,A0A024R390;Q8N1G1,ZERO,Q12090;P53331,P53331,O94443;Q9P7H2,O94443
KOG2298,7,6,O23627;F4J376;Q9FXG2,O23627;F4J376,Q10039,Q10039,Q961R8;Q9VJV8,ZERO,E7F4P9;F1QUV7,F1QUV7,E5KS15;P41250,P41250,P0C5L4;Q06817,Q06817,Q10179,Q10179
KOG2334,7,5,B3H460;Q9SCJ5,ZERO,Q9XWJ9,Q9XWJ9,Q9VY45,ZERO,E7F220,E7F220,A0A024R6Z7,A0A024R6Z7,P53720,P53720,O74731,O74731
KOG2335,7,6,Q9FH91;Q9FI41;Q8H128,Q9FH91;Q9FI41;Q8H128,Q9XVN8;Q09504,Q9XVN8;Q09504,Q9VJ06;Q9VPM1,ZERO,Q5RIX6,Q5RIX6,A4D0R5;Q6P1R4,A4D0R5;Q6P1R4,Q06063;P53759,Q06063;P53759,Q9HGN6;O74553,Q9HGN6;O74553
KOG2339,7,5,Q5XVC2,ZERO,Q17426,Q17426,Q9VSK9,ZERO,B1H1H9;E9QFR2,E9QFR2,Q96PZ0;Q9H0K6,Q96PZ0;Q9H0K6,Q08647,Q08647,O74343,O74343
KOG2360,7,1,Q8GYE8,ZERO,Q9NAA7,ZERO,Q9VDZ4,ZERO,F1RA04;F1RAV9,ZERO,Q96P11;Q8NE18,ZERO,P53972,ZERO,O14039,O14039
KOG2361,7,3,O64850,ZERO,Q2MDF2,ZERO,Q86BS6,ZERO,A8WHR1;F1QEY2,ZERO,E7ETE0;Q96IZ6;Q6P1Q9,Q96IZ6;Q6P1Q9,Q08641,Q08641,Q9P7L6,Q9P7L6
KOG2363,7,5,Q9FJD9,ZERO,Q9TYZ2,Q9TYZ2,Q9VPM0,ZERO,Q5BJK2,Q5BJK2,P78346,P78346,P38786,P38786,P87120,P87120
KOG2438,7,6,Q9FV81,Q9FV81,Q9N5X5,Q9N5X5,Q9VCD0,Q9VCD0,Q7T010,ZERO,O75879,O75879,P33893,P33893,Q9UT77,Q9UT77
KOG2509,7,5,Q8RWT8;Q39230,Q8RWT8;Q39230,A8WIS8,ZERO,Q95T19;O18406;Q9VQL1,ZERO,A3QJX4;Q6DRC0,A3QJX4;Q6DRC0,Q9NP81;P49591;M0R2C6,Q9NP81;P49591;M0R2C6,P38705;P07284,P38705;P07284,Q9UTB2;O14018,Q9UTB2;O14018
KOG2554,7,6,Q9C5K6,Q9C5K6,Q09524,Q09524,Q9W282,ZERO,F1QBS4,F1QBS4,Q9BZE2,Q9BZE2,P31115,P31115,Q9UTB3,Q9UTB3
KOG2594,7,7,O65628,O65628,Q19906,Q19906,Q9VIV3,Q9VIV3,Q6DC53,Q6DC53,Q2VPK5,Q2VPK5,P53923,P53923,Q9UUC7,Q9UUC7
KOG2671,7,4,Q9LIN4,Q9LIN4,Q9N4H1,ZERO,Q960G1,ZERO,F1R1R2,ZERO,Q7Z4G4,Q7Z4G4,Q12463,Q12463,O94636,O94636
KOG2713,7,6,Q8RXE9,Q8RXE9,P46579,P46579,Q9VVL8,ZERO,B0S5M9,B0S5M9,Q9UGM6,Q9UGM6,P04803,P04803,O42875,O42875
KOG2749,7,4,Q9FLE2;Q9SR06,ZERO,P52874,P52874,Q7K284,Q7K284,E7F3I6,ZERO,Q92989,Q92989,Q08685,Q08685,Q10299,ZERO
KOG2771,7,3,Q5XF54,ZERO,F3Y5R5;Q9NAH8;F3Y5R4,ZERO,Q7K157,ZERO,Z4YHM2,Z4YHM2,D6W601,ZERO,Q9URQ3,Q9URQ3,Q9P7N4,Q9P7N4
KOG2777,7,3,Q1PFZ4,ZERO,Q93412,ZERO,X2JHZ2;M9PDF5,ZERO,A5WUX1;E7FD76;E9QIW2;F1R076;F1RC56;X2BQ53,ZERO,Q9NS39;Q96M93;P55265;Q9BUB4;Q8NCV1;P78563,Q9BUB4,P53065,P53065,O42912,O42912
KOG2811,7,5,Q9SYI6,ZERO,Q9XW93,Q9XW93,Q8SX24,ZERO,F8W2S4,F8W2S4,Q9NUP7,Q9NUP7,Q12383,Q12383,Q9UTH1,Q9UTH1
KOG2840,7,6,F4I2A4;O64862,F4I2A4;O64862,Q9N4F1;Q95Y42,ZERO,Q7JWW5,Q7JWW5,Q803X1,Q803X1,Q7Z7A3,Q7Z7A3,P53088,P53088,O94282,O94282
