KOG0370,7,5,Q42601,ZERO,Q18990,Q18990,P05990,ZERO,F1QS89;F6PBT6,F1QS89;F6PBT6,P27708;P31327,P27708;P31327,P07259;P03965,P07259;P03965,Q09794;O94313,O94313,
KOG3361,7,1,Q9MAB6;O49627;O81433,ZERO,O45948,ZERO,Q9VHK6,ZERO,F1QM53;Q6ZM53,ZERO,Q9H1K1,Q9H1K1,Q12056;Q03020,ZERO,Q9UTC6,ZERO,
KOG4168,7,1,Q7XJ61;Q9FGQ4,ZERO,Q0G841,ZERO,Q7K1S9,ZERO,F1QK38,ZERO,A0A024RDL0;H7C0S8,H7C0S8,P47076,ZERO,Q9C0Z9,ZERO,
KOG1211,6,1,Q9LI77;Q9LVH5;Q9SW47;F4KCL7;Q9LY24;Q7XJJ7;Q9FR37,ZERO,Q9U2I8,ZERO,NONE,NONE,F1QAJ4,ZERO,Q9H0R6,ZERO,Q03557;P32528,P32528,NONE,NONE,
KOG1706,6,4,Q9SZX3,ZERO,NONE,NONE,O97069,O97069,F1QIB1,F1QIB1,Q5T6L4,ZERO,P22768,P22768,O94354,O94354,
KOG1316,6,1,Q9LEU8,ZERO,NONE,NONE,Q5U189,ZERO,F1RA91,ZERO,A0A024RDL8,ZERO,P04076,ZERO,P50514;P40369,P50514;P40369,
KOG2965,6,4,NONE,NONE,H2KZS0,ZERO,Q9NHA5,ZERO,Q6PH54;E7F8R4;Q7T151,Q6PH54;Q7T151,A0A024R6A0;P05089,A0A024R6A0;P05089,P00812,P00812,Q10066;P37818,Q10066;P37818,
KOG1504,5,4,O50039,ZERO,NONE,NONE,NONE,NONE,E9QHD9,E9QHD9,P00480,P00480,P05150,P05150,P31317,P31317,
KOG2436,5,1,F4JS51;Q9SCL7;Q84JF4;Q3EBW2,ZERO,NONE,NONE,NONE,NONE,E7FCP8,ZERO,Q8N159,Q8N159,Q01217,ZERO,P31318,ZERO,
KOG0763,5,1,NONE,NONE,Q10050,ZERO,Q7KVQ8,ZERO,A2BEN9;F1RBQ6,ZERO,Q9Y619;Q9BXI2,Q9Y619;Q9BXI2,Q12375,ZERO,NONE,NONE,
KOG0535,4,4,Q9S850,Q9S850,Q9XTQ8,Q9XTQ8,Q9VWP4,Q9VWP4,NONE,NONE,A0A024RB79,A0A024RB79,NONE,NONE,NONE,NONE,
KOG1599,4,1,O04420,ZERO,NONE,NONE,P16163,ZERO,E9QGD6,ZERO,NONE,NONE,NONE,NONE,O74409,O74409,
KOG2964,4,2,P46637;Q9ZPF5,P46637;Q9ZPF5,NONE,NONE,NONE,NONE,F1QJZ3,ZERO,A0A024QZ78,ZERO,NONE,NONE,Q10088;O42887;Q9C0Y9,O42887;Q9C0Y9,
KOG3119,4,1,NONE,NONE,O16213;Q94126;Q18909;P46505,ZERO,A1ZAC2;Q24217;P39572;Q9VTE8,ZERO,F1Q964;F1QZP2;F1REV9;Q8UVZ0;A5PME1;E7F586;F1QKJ7;E7FBA6;F1R8S9;Q08BP9;Q90ZW4;F1Q4X0,ZERO,Q10586;Q16534;Q10587;P49715,P49715,NONE,NONE,NONE,NONE,
KOG3575,4,1,NONE,NONE,O62112;O45521;Q9BKZ8;Q2V069;Q2V068;O45905;O45315;O17991;O02235;O18087;Q09528;Q95XT8;O45449;Q95X91;G5EFN9;Q9N2W3;Q9N418;O16962;O16966;O16965;Q9U1R0;O45987;O16354;O16360;Q22960;Q9XU11;G5EEL3;Q09565;O17573;Q8I7M5;O02316;O62412;O45910;G5EET0;Q9XVK1;O45460;Q18895;Q22555;Q9UB40;Q9TXJ1;O16663;O16661;G5EC41;Q18155;G5EE08;Q9XVV3;O16677;P90822;O16753;A7LPI6;G5EG35;O17706;Q21700;O16346;Q19438;Q95XZ3;Q9XXL8;Q9XXM1;O17748;Q95Y08;O16425;Q18190;O17020;O17025;Q9U3N8;O62116;Q21372;Q9U1U2;O44668;O17657;O16538;O16537;Q8WSN9;Q95Y09;Q95Y07;G4SCE4;Q95XH8;O17081;O45365;Q23038;O17131;Q17370;Q17589;O16604;Q18392;Q18395;Q9NAJ3;Q7KX62;Q20389;Q9NAJ2;O46003;O16676;O17933;O17934;Q966I0;G5EDC3;Q966H7;Q966H4;O45328;O16398;O45954;Q966H9;Q95QT4;O44635;Q18393;O76828;Q18391;O45756;Q9XVJ1;Q9XVC7;O17082;O62034;Q10902;O02305;Q19496;O16603;O16961;Q20097;O45505;O45507;O16890;A2V8C5;Q27521;Q95QB3;H2KZT0;Q21006;G5EFF5;B1GRK7;Q8MYP0;H2L098;Q23294;Q8ITW8;Q9XYB7;G5ECI7;A5JYT1;O62496;H2L019;O62031;O02279;Q22127;Q9GTD4;O44638;H2L0B0;O45907;H2L0L6;H2L0M9;Q9NEV6;Q86PJ4;Q95QR2;H2KYJ8;Q94407;Q17905;H2L017;Q9N4Q7;G5ECR9;O16662;O18086;Q9BJK5;Q95ZS3,ZERO,O96680;A1ZA01;P16375;P18102;Q8WS79;M9PGA3;Q9VI12;Q24143;P34021;M9PGS2;Q24142;P17671,ZERO,F1QJT0;A9C4A5;F1QNF1;F1QEW1;B3DG77;Q5RH32;F1QGF3;Q6DEH0;B0V1H8;F1R2J7;Q1L673;F1R2J5;G1K2L7;Q568N6;F1QY74;F1Q684;Q06726;F1QL15;Q6PH18;F1QME0;F1RAM8;B8JJL4;F1QJG0;Q7ZU32;F1QUF4;B0UXU0;A4GT83;F1QYF6;F1REC6;F1Q8K8;F1QEH1;Q90271;F1QI86;Q7SYN5;F1QYK2;F1Q660;F1R1H6;F1QH45;Q1XHK0;Q6Q6F6;F1RDN3;E7EZ95;Q6P115;F1R1Y8;B3DGQ7;Q6P117,ZERO,A0A024RCW6;A0A0B4J1T2;B0ZBF6;B6ZGT9;E5KQF6;F1D8N1;F1D8N7;F1D8P4;F1D8P9;F1D8Q5;F1D8Q7;F1D8R0;F1D8R3;F1D8R5;F1D8S0;F1D8S4;F1D8S6;P28702;P06401;Q14994;Q15466;Q569H8;O95718;H9NIM2;P10589;F2YGU2;G4XH65;P55055;P10827;Q7LCB3;Q5STP9;P11473;Q6I9R7;P13631;Q96RI1;P37231,Q96RI1,NONE,NONE,NONE,NONE,
ENOG410IUMV,3,2,Q9LVW7,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P07258,P07258,O60060,O60060,
KOG0560,3,1,Q39161;Q9LZ66,Q39161,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P47169,ZERO,Q1K9C2,ZERO,
KOG2348,3,1,F4KD71,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P33413,P33413,O94469;Q9URY6;Q8TFG0,ZERO,
ENOG410IDZV,3,1,NONE,NONE,NONE,NONE,Q9U999,ZERO,B7ZDE9,ZERO,P42858,P42858,NONE,NONE,NONE,NONE,
ENOG410IESP,2,1,O64700,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Q96WV0,Q96WV0,
ENOG410IGM6,2,2,Q9SR52,Q9SR52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,O00084,O00084,
ENOG410II8W,2,1,Q9XHZ3,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,O14016,O14016,
ENOG410IK0X,2,1,Q7Y0S0,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P87125,P87125,
ENOG410IE4E,2,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P21657,P21657,Q9UTA7;Q9P7H9,ZERO,
